
Note: No compatibility mode selected!


Circuit: * analog measurement system

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
in                                           0
out                                          0
vsignal#branch                               0


No. of Data Rows : 5008
                          * analog measurement system
                          Transient Analysis  Mon Sep 14 20:00:02  2026
--------------------------------------------------------------------------------
Index   time            v(in)           v(out)          
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	0.000000e+00	
1	1.000000e-08	6.283185e-07	6.282557e-11	
2	2.000000e-08	1.256637e-06	1.884704e-10	
3	4.000000e-08	2.513274e-06	5.653862e-10	
4	8.000000e-08	5.026548e-06	2.072823e-09	
5	1.600000e-07	1.005309e-05	8.100611e-09	
6	3.200000e-07	2.010618e-05	3.219579e-08	
7	6.400000e-07	4.021228e-05	1.284483e-07	
8	1.280000e-06	8.042390e-05	5.124333e-07	
9	2.280000e-06	1.432517e-04	1.620148e-06	
10	3.280000e-06	2.060739e-04	3.341966e-06	
11	4.280000e-06	2.688879e-04	5.671707e-06	
12	5.280000e-06	3.316913e-04	8.603228e-06	
13	6.280000e-06	3.944817e-04	1.213042e-05	
14	7.280000e-06	4.572564e-04	1.624723e-05	
15	8.280000e-06	5.200131e-04	2.094760e-05	
16	9.280000e-06	5.827493e-04	2.622555e-05	
17	1.028000e-05	6.454624e-04	3.207510e-05	
18	1.128000e-05	7.081501e-04	3.849034e-05	
19	1.228000e-05	7.708098e-04	4.546536e-05	
20	1.328000e-05	8.334391e-04	5.299430e-05	
21	1.428000e-05	8.960355e-04	6.107135e-05	
22	1.528000e-05	9.585965e-04	6.969070e-05	
23	1.628000e-05	1.021120e-03	7.884659e-05	
24	1.728000e-05	1.083603e-03	8.853330e-05	
25	1.828000e-05	1.146043e-03	9.874514e-05	
26	1.928000e-05	1.208437e-03	1.094764e-04	
27	2.028000e-05	1.270785e-03	1.207216e-04	
28	2.128000e-05	1.333082e-03	1.324749e-04	
29	2.228000e-05	1.395326e-03	1.447309e-04	
30	2.328000e-05	1.457515e-03	1.574840e-04	
31	2.428000e-05	1.519647e-03	1.707288e-04	
32	2.528000e-05	1.581719e-03	1.844597e-04	
33	2.628000e-05	1.643728e-03	1.986712e-04	
34	2.728000e-05	1.705672e-03	2.133581e-04	
35	2.828000e-05	1.767549e-03	2.285148e-04	
36	2.928000e-05	1.829356e-03	2.441361e-04	
37	3.028000e-05	1.891092e-03	2.602166e-04	
38	3.128000e-05	1.952752e-03	2.767510e-04	
39	3.228000e-05	2.014335e-03	2.937340e-04	
40	3.328000e-05	2.075839e-03	3.111604e-04	
41	3.428000e-05	2.137261e-03	3.290250e-04	
42	3.528000e-05	2.198598e-03	3.473225e-04	
43	3.628000e-05	2.259849e-03	3.660479e-04	
44	3.728000e-05	2.321010e-03	3.851960e-04	
45	3.828000e-05	2.382080e-03	4.047616e-04	
46	3.928000e-05	2.443056e-03	4.247398e-04	
47	4.028000e-05	2.503935e-03	4.451254e-04	
48	4.128000e-05	2.564716e-03	4.659135e-04	
49	4.228000e-05	2.625395e-03	4.870990e-04	
50	4.328000e-05	2.685970e-03	5.086769e-04	
51	4.428000e-05	2.746440e-03	5.306424e-04	
52	4.528000e-05	2.806801e-03	5.529904e-04	
53	4.628000e-05	2.867051e-03	5.757162e-04	
54	4.728000e-05	2.927189e-03	5.988147e-04	

Index   time            v(in)           v(out)          
--------------------------------------------------------------------------------
55	4.828000e-05	2.987210e-03	6.222812e-04	
56	4.928000e-05	3.047114e-03	6.461109e-04	
57	5.028000e-05	3.106897e-03	6.702989e-04	
58	5.128000e-05	3.166558e-03	6.948405e-04	
59	5.228000e-05	3.226093e-03	7.197309e-04	
60	5.328000e-05	3.285502e-03	7.449654e-04	
61	5.428000e-05	3.344780e-03	7.705392e-04	
62	5.528000e-05	3.403927e-03	7.964478e-04	
63	5.628000e-05	3.462939e-03	8.226865e-04	
64	5.728000e-05	3.521814e-03	8.492506e-04	
65	5.828000e-05	3.580551e-03	8.761355e-04	
66	5.928000e-05	3.639146e-03	9.033366e-04	
67	6.028000e-05	3.697597e-03	9.308494e-04	
68	6.128000e-05	3.755903e-03	9.586693e-04	
69	6.228000e-05	3.814060e-03	9.867918e-04	
70	6.328000e-05	3.872066e-03	1.015212e-03	
71	6.428000e-05	3.929920e-03	1.043927e-03	
72	6.528000e-05	3.987619e-03	1.072930e-03	
73	6.628000e-05	4.045160e-03	1.102218e-03	
74	6.728000e-05	4.102541e-03	1.131787e-03	
75	6.828000e-05	4.159761e-03	1.161631e-03	
76	6.928000e-05	4.216816e-03	1.191747e-03	
77	7.028000e-05	4.273705e-03	1.222130e-03	
78	7.128000e-05	4.330425e-03	1.252776e-03	
79	7.228000e-05	4.386974e-03	1.283681e-03	
80	7.328000e-05	4.443350e-03	1.314840e-03	
81	7.428000e-05	4.499550e-03	1.346249e-03	
82	7.528000e-05	4.555573e-03	1.377904e-03	
83	7.628000e-05	4.611416e-03	1.409800e-03	
84	7.728000e-05	4.667077e-03	1.441934e-03	
85	7.828000e-05	4.722554e-03	1.474301e-03	
86	7.928000e-05	4.777844e-03	1.506897e-03	
87	8.028000e-05	4.832946e-03	1.539718e-03	
88	8.128000e-05	4.887857e-03	1.572760e-03	
89	8.228000e-05	4.942575e-03	1.606018e-03	
90	8.328000e-05	4.997098e-03	1.639489e-03	
91	8.428000e-05	5.051423e-03	1.673168e-03	
92	8.528000e-05	5.105549e-03	1.707052e-03	
93	8.628000e-05	5.159474e-03	1.741136e-03	
94	8.728000e-05	5.213195e-03	1.775417e-03	
95	8.828000e-05	5.266710e-03	1.809890e-03	
96	8.928000e-05	5.320017e-03	1.844551e-03	
97	9.028000e-05	5.373114e-03	1.879397e-03	
98	9.128000e-05	5.425999e-03	1.914423e-03	
99	9.228000e-05	5.478670e-03	1.949627e-03	
100	9.328000e-05	5.531124e-03	1.985002e-03	
101	9.428000e-05	5.583360e-03	2.020547e-03	
102	9.528000e-05	5.635376e-03	2.056257e-03	
103	9.628000e-05	5.687169e-03	2.092128e-03	
104	9.728000e-05	5.738738e-03	2.128156e-03	
105	9.828000e-05	5.790080e-03	2.164337e-03	
106	9.928000e-05	5.841193e-03	2.200669e-03	
107	1.002800e-04	5.892076e-03	2.237146e-03	
108	1.012800e-04	5.942727e-03	2.273765e-03	
109	1.022800e-04	5.993142e-03	2.310523e-03	
110	1.032800e-04	6.043322e-03	2.347416e-03	
111	1.042800e-04	6.093262e-03	2.384440e-03	
112	1.052800e-04	6.142962e-03	2.421590e-03	

Index   time            v(in)           v(out)          
--------------------------------------------------------------------------------
113	1.062800e-04	6.192420e-03	2.458865e-03	
114	1.072800e-04	6.241633e-03	2.496260e-03	
115	1.082800e-04	6.290599e-03	2.533771e-03	
116	1.092800e-04	6.339318e-03	2.571395e-03	
117	1.102800e-04	6.387786e-03	2.609127e-03	
118	1.112800e-04	6.436001e-03	2.646966e-03	
119	1.122800e-04	6.483963e-03	2.684906e-03	
120	1.132800e-04	6.531669e-03	2.722945e-03	
121	1.142800e-04	6.579117e-03	2.761079e-03	
122	1.152800e-04	6.626305e-03	2.799304e-03	
123	1.162800e-04	6.673232e-03	2.837617e-03	
124	1.172800e-04	6.719895e-03	2.876015e-03	
125	1.182800e-04	6.766293e-03	2.914493e-03	
126	1.192800e-04	6.812423e-03	2.953049e-03	
127	1.202800e-04	6.858285e-03	2.991679e-03	
128	1.212800e-04	6.903876e-03	3.030379e-03	
129	1.222800e-04	6.949195e-03	3.069147e-03	
130	1.232800e-04	6.994239e-03	3.107979e-03	
131	1.242800e-04	7.039007e-03	3.146871e-03	
132	1.252800e-04	7.083497e-03	3.185820e-03	
133	1.262800e-04	7.127707e-03	3.224823e-03	
134	1.272800e-04	7.171637e-03	3.263876e-03	
135	1.282800e-04	7.215282e-03	3.302976e-03	
136	1.292800e-04	7.258644e-03	3.342120e-03	
137	1.302800e-04	7.301718e-03	3.381305e-03	
138	1.312800e-04	7.344504e-03	3.420527e-03	
139	1.322800e-04	7.387001e-03	3.459783e-03	
140	1.332800e-04	7.429206e-03	3.499070e-03	
141	1.342800e-04	7.471117e-03	3.538384e-03	
142	1.352800e-04	7.512733e-03	3.577723e-03	
143	1.362800e-04	7.554053e-03	3.617083e-03	
144	1.372800e-04	7.595075e-03	3.656461e-03	
145	1.382800e-04	7.635797e-03	3.695853e-03	
146	1.392800e-04	7.676217e-03	3.735258e-03	
147	1.402800e-04	7.716335e-03	3.774671e-03	
148	1.412800e-04	7.756147e-03	3.814090e-03	
149	1.422800e-04	7.795654e-03	3.853511e-03	
150	1.432800e-04	7.834853e-03	3.892931e-03	
151	1.442800e-04	7.873742e-03	3.932348e-03	
152	1.452800e-04	7.912321e-03	3.971757e-03	
153	1.462800e-04	7.950587e-03	4.011157e-03	
154	1.472800e-04	7.988539e-03	4.050544e-03	
155	1.482800e-04	8.026176e-03	4.089916e-03	
156	1.492800e-04	8.063496e-03	4.129268e-03	
157	1.502800e-04	8.100498e-03	4.168599e-03	
158	1.512800e-04	8.137180e-03	4.207905e-03	
